,Predicted,Original,Difference
0,1754.951,1795,40.0489501953125
1,1767.5055,1820,52.4945068359375
2,1765.9885,1822,56.011474609375
3,1792.8987,1843,50.101318359375
4,1811.256,1815,3.7440185546875
5,1811.712,1843,31.2879638671875
6,1824.3354,1860,35.66455078125
7,1803.2102,1864,60.789794921875
8,1824.2003,1865,40.7996826171875
9,1840.8385,1862,21.1614990234375
10,1847.3097,1853,5.6903076171875
11,1851.8052,1851,-0.80517578125
12,1847.1422,1878,30.8577880859375
13,1840.0055,1841,0.9945068359375
14,1835.7651,1836,0.23486328125
15,1858.1702,1845,-13.170166015625
16,1828.4138,1837,8.586181640625
17,1819.7844,1848,28.215576171875
18,1829.1046,1842,12.8953857421875
19,1822.8033,1853,30.1966552734375
20,1834.4875,1852,17.512451171875
21,1828.3494,1861,32.650634765625
22,1839.6215,1822,-17.6214599609375
23,1840.8782,1836,-4.878173828125
24,1846.5823,1850,3.417724609375
25,1811.4392,1824,12.560791015625
26,1818.9479,1794,-24.9478759765625
27,1834.6821,1729,-105.68212890625
28,1811.765,1716,-95.7650146484375
29,1780.885,1727,-53.885009765625
30,1710.2856,1721,10.71435546875
31,1698.0728,1748,49.92724609375
32,1716.1315,1729,12.8685302734375
33,1720.2163,1749,28.78369140625
34,1748.8446,1762,13.1553955078125
35,1737.0127,1766,28.9873046875
36,1749.5808,1765,15.419189453125
37,1756.7146,1766,9.285400390625
38,1758.9263,1770,11.07373046875
39,1759.1663,1782,22.833740234375
40,1757.7832,1786,28.216796875
41,1762.6812,1800,37.31884765625
42,1773.0203,1814,40.979736328125
43,1777.171,1814,36.8289794921875
44,1790.0591,1806,15.94091796875
45,1803.5615,1814,10.4384765625
46,1804.5428,1820,15.4571533203125
47,1797.1434,1820,22.8565673828125
48,1801.793,1795,-6.79296875
49,1807.888,1753,-54.887939453125
50,1808.8617,1715,-93.8616943359375
51,1786.0452,1705,-81.045166015625
52,1741.167,1684,-57.1669921875
53,1696.4098,1696,-0.4097900390625
54,1687.2229,1711,23.777099609375
55,1675.1007,1713,37.8992919921875
56,1694.59,1727,32.4100341796875
57,1716.0327,1727,10.96728515625
58,1720.5707,1747,26.4293212890625
59,1728.1788,1755,26.8211669921875
60,1724.0693,1754,29.9306640625
61,1739.8114,1764,24.1885986328125
62,1747.2971,1773,25.702880859375
63,1746.5757,1772,25.42431640625
64,1755.7527,1768,12.247314453125
65,1763.6355,1765,1.364501953125
66,1764.6863,1754,-10.686279296875
67,1760.9226,1774,13.077392578125
68,1757.7512,1767,9.248779296875
69,1748.7311,1760,11.2689208984375
70,1764.8499,1766,1.150146484375
71,1761.6345,1754,-7.634521484375
72,1754.9939,1762,7.006103515625
73,1759.986,1760,0.0140380859375
74,1749.6088,1668,-81.6087646484375
75,1756.5002,1648,-108.500244140625
76,1754.3958,1656,-98.395751953125
77,1659.1519,1624,-35.15185546875
78,1629.214,1647,17.7860107421875
79,1642.2572,1639,-3.2572021484375
80,1623.5992,1619,-4.5992431640625
81,1649.0771,1628,-21.0771484375
82,1644.9233,1641,-3.92333984375
83,1627.4509,1634,6.549072265625
84,1629.3162,1636,6.683837890625
85,1636.0686,1641,4.931396484375
86,1632.6887,1619,-13.688720703125
87,1632.8333,1608,-24.833251953125
88,1636.7546,1622,-14.754638671875
89,1618.2344,1620,1.765625
90,1603.1235,1619,15.87646484375
91,1614.9196,1626,11.0804443359375
92,1615.7578,1599,-16.7578125
93,1615.9329,1638,22.067138671875
94,1621.719,1646,24.281005859375
95,1596.4893,1593,-3.4892578125
96,1632.1543,1613,-19.154296875
97,1641.0659,1611,-30.06591796875
98,1592.3944,1574,-18.3944091796875
99,1607.2308,1504,-103.2308349609375
100,1604.916,1474,-130.916015625
101,1569.7797,1482,-87.7796630859375
102,1488.6761,1497,8.3238525390625
103,1454.8732,1511,56.1268310546875
104,1472.1669,1520,47.8331298828125
105,1498.303,1537,38.697021484375
106,1518.6884,1536,17.3116455078125
107,1526.5144,1557,30.485595703125
108,1536.0134,1550,13.986572265625
109,1530.9552,1563,32.0447998046875
110,1548.2388,1569,20.76123046875
111,1546.8987,1566,19.101318359375
112,1559.6753,1550,-9.67529296875
113,1566.0076,1573,6.992431640625
114,1564.0635,1583,18.9365234375
115,1549.9629,1563,13.037109375
116,1567.3352,1574,6.664794921875
117,1579.2833,1578,-1.2833251953125
118,1563.013,1598,34.987060546875
119,1569.8755,1615,45.12451171875
120,1574.5372,1616,41.4627685546875
121,1593.7234,1613,19.276611328125
122,1609.8069,1611,1.193115234375
123,1612.2448,1612,-0.2447509765625
124,1610.8665,1620,9.133544921875
125,1606.5314,1628,21.4686279296875
126,1607.047,1597,-10.0469970703125
127,1615.7949,1615,-0.794921875
128,1624.282,1631,6.718017578125
129,1596.0277,1636,39.9722900390625
130,1610.0015,1622,11.99853515625
131,1626.0376,1611,-15.03759765625
132,1633.2013,1592,-41.2012939453125
133,1620.2786,1545,-75.278564453125
134,1607.1609,1558,-49.160888671875
135,1588.2151,1537,-51.215087890625
136,1533.6079,1511,-22.60791015625
137,1544.1917,1536,-8.191650390625
138,1529.1779,1533,3.8221435546875
139,1507.86,1532,24.1400146484375
140,1532.9128,1532,-0.912841796875
141,1533.355,1474,-59.35498046875
142,1532.3662,1461,-71.3662109375
143,1527.5616,1450,-77.5616455078125
144,1464.4973,1424,-40.497314453125
145,1445.3513,1422,-23.351318359375
146,1436.6406,1411,-25.640625
147,1416.6147,1428,11.38525390625
148,1418.2302,1444,25.769775390625
149,1415.0479,1452,36.9521484375
